country,country_code,indicator,year,value,long_name,income_group,region,lending_category,other_groups,currency_unit,latest_population_census,latest_household_survey,special_notes,national_accounts_base_year,national_accounts_reference_year,system_of_national_accounts,sna_price_valuation,ppp_survey_years,balance_of_payments_manual_in_use,external_debt_reporting_status,system_of_trade,government_accounting_concept,imf_data_dissemination_standard,source_of_most_recent_income_and_expenditure_data,vital_registration_complete,latest_agricultural_census,latest_industrial_data,latest_trade_data,latest_water_withdrawal_data,2-alpha_code,wb-2_code,table_name,short_name
Cambodia,KHM       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,Concessional debt (% of total external debt),2006,93.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Currency composition of PPG debt, all other currencies (%)",2006,53.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cambodia,KHM       ,"Currency composition of PPG debt, Euro (%)",2006,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,Average grace period on new external debt commitments (years),2006,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average grace period on new external debt commitments, official (years)",2006,5.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,Average grant element on new external debt commitments (%),2006,36.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average grant element on new external debt commitments, official (%)",2006,36.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,Average interest on new external debt commitments (%),2006,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average interest on new external debt commitments, official (%)",2006,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,Average maturity on new external debt commitments (years),2006,24.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average maturity on new external debt commitments, official (years)",2006,24.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Average maturity on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,Concessional debt (% of total external debt),2006,11.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Currency composition of PPG debt, all other currencies (%)",2006,7.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameroon,CMR       ,"Currency composition of PPG debt, Euro (%)",2006,78.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,Average grace period on new external debt commitments (years),2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average grace period on new external debt commitments, official (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average grace period on new external debt commitments, private (years)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,Average grant element on new external debt commitments (%),2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average grant element on new external debt commitments, official (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average grant element on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,Average interest on new external debt commitments (%),2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average interest on new external debt commitments, official (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comoros,COM       ,"Average interest on new external debt commitments, private (%)",2006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
